date,capital,period_return,benchmark_return,turnover,borrow_cost,n_sectors,longs,shorts
2015-01-02,1028280.1925232913,0.02930950202531676,-0.0028721949056412788,1.9999999999999998,0.00025,9,XLU|XLV|XLP,XLY|XLF|XLE
2015-02-03,1002689.3306693205,-0.02456190522160065,0.027436002838821416,0.6666666666666666,0.00025,9,XLU|XLV|XLP,XLB|XLF|XLE
2015-03-05,1003066.6899117738,0.0007099170929637619,-0.008088298122690518,0.6666666666666666,0.00025,9,XLU|XLV|XLK,XLB|XLF|XLE
2015-04-06,978742.9612007705,-0.024249363432797072,0.005148493144301103,0.0,0.00025,9,XLV|XLU|XLK,XLB|XLF|XLE
2015-05-05,1004303.3443066595,0.02645767432342428,0.005887999112067277,0.6666666666666666,0.00025,9,XLV|XLY|XLU,XLB|XLF|XLE
2015-06-04,1038700.4167716233,0.03493964404380365,-0.01144299718654318,1.3333333333333333,0.00025,9,XLF|XLV|XLY,XLB|XLU|XLE
2015-07-06,1114982.3997717882,0.07415593489192482,0.012867729521326865,1.3333333333333333,0.00025,9,XLV|XLP|XLF,XLI|XLB|XLE
2015-08-04,1107312.9078567238,-0.005220611014995151,-0.06672059314711143,3.3333333333333335,0.00025,9,XLY|XLK|XLI,XLP|XLU|XLE
2015-09-02,1135647.122823456,0.027300431340310582,0.0030897770091817822,3.333333333333333,0.00025,9,XLV|XLP|XLU,XLK|XLB|XLE
2015-10-02,1081614.7269787164,-0.047260928420693876,0.07892263272380351,0.6666666666666666,0.00025,9,XLV|XLU|XLP,XLF|XLB|XLE
2015-11-02,1110743.853972008,0.02830221827343864,-0.008840517899547762,2.6666666666666665,0.00025,9,XLY|XLK|XLF,XLB|XLU|XLE
2015-12-02,1157669.335300066,0.04294219191697936,-0.030276513612317313,1.3333333333333333,0.00025,9,XLY|XLK|XLU,XLB|XLF|XLE
2016-01-04,1177186.9487817157,0.017877279949184394,-0.048353746853195045,2.0,0.00025,9,XLV|XLP|XLY,XLI|XLB|XLE
2016-02-03,1137473.4784696146,-0.033413712323745376,0.04772598587482113,0.6666666666666666,0.00025,9,XLY|XLP|XLV,XLB|XLF|XLE
2016-03-04,1163198.5739465158,0.022956981517844578,0.024014500626305058,0.6666666666666666,0.00025,9,XLU|XLP|XLY,XLB|XLE|XLF
2016-04-05,1088355.0025477372,-0.06403091191607452,0.004015380019906756,0.6666666666666666,0.00025,9,XLU|XLK|XLP,XLB|XLE|XLF
2016-05-04,1085561.9542309404,-0.002566302640460606,0.025706267723328624,0.0,0.00025,9,XLU|XLK|XLP,XLB|XLE|XLF
2016-06-03,1127075.2202543628,0.03893389096343714,-0.0037386032048196682,1.3333333333333333,0.00025,9,XLU|XLY|XLP,XLV|XLE|XLF
